customer_id,first_name,last_name,email,gender,age,city,country,signup_date,acquisition_channel
1,Ashley,Miller,wcabrera@example.net,M,56,New Jamesside,USA,2025-11-03,Affiliate
2,David,Alvarez,josephbrennan@example.com,F,69,Jacquelineland,USA,2026-06-08,Instagram Ads
3,Sarah,Campos,jenniferross@example.net,M,46,North Noahstad,USA,2025-06-29,Affiliate
4,Samuel,Holmes,wrightcaleb@example.org,M,32,New Mariotown,USA,2025-04-22,Google Display
5,Jerry,Robinson,zimmermanbrian@example.org,M,60,New Jamesside,USA,2026-04-05,Facebook Ads
6,Michele,Jones,joshuawashington@example.net,M,25,West Michael,USA,2023-12-10,Email
7,Selena,Duncan,esanchez@example.com,M,38,East Nathaniel,USA,2024-02-11,Instagram Ads
8,Collin,Jordan,ujenkins@example.org,F,56,West Michael,USA,2025-07-25,Google Display
9,Tracey,Garcia,zchandler@example.org,F,36,East William,USA,2024-04-15,Instagram Ads
10,James,West,dwhite@example.org,F,40,Jasonfort,USA,2026-03-02,Google Search
11,Charles,Morton,williamsyvette@example.org,M,28,Ramirezstad,USA,2026-06-14,Google Search
12,Sara,Allison,richardolson@example.com,M,28,Ericmouth,USA,2026-04-02,Google Display
13,Franklin,Smith,ybaker@example.com,M,41,Wilkersonmouth,USA,2024-05-25,Google Search
14,Heather,Cross,smoore@example.org,F,53,Robinsonshire,USA,2026-06-13,Affiliate
15,Beth,Daniels,brian97@example.net,F,57,Port Colleenhaven,USA,2026-04-20,Facebook Ads
16,Amanda,Brown,yorkcasey@example.org,F,41,Ericmouth,USA,2025-07-27,Email
17,Joe,Wilson,bethwilliams@example.org,F,20,North John,USA,2024-10-19,Google Search
18,Brandy,Mills,james53@example.com,M,39,Lake Roberto,USA,2024-09-23,Facebook Ads
19,Emily,Evans,sarah10@example.com,M,19,Lake Mark,USA,2025-05-28,Facebook Ads
20,Anna,Garcia,williamanderson@example.com,M,41,North Noahstad,USA,2026-03-09,Google Display
21,Natasha,Wood,samueldaniels@example.com,F,61,Tashatown,USA,2025-05-18,Affiliate
22,Vanessa,Valdez,contrerasangela@example.net,F,47,Lake Chad,USA,2023-11-08,Google Search
23,Natalie,Baker,newtoneric@example.com,F,55,Ramirezstad,USA,2025-05-10,Affiliate
24,Jennifer,Harris,william40@example.org,F,19,Lake Roberto,USA,2025-06-12,Email
25,Maria,Williams,kellie42@example.net,M,38,Port Colleenhaven,USA,2024-11-13,Affiliate
26,Janice,Hoffman,jonesnicole@example.org,M,50,Lake Chad,USA,2025-03-06,Google Display
27,Mary,Aguilar,russellwilliams@example.com,F,29,South Noah,USA,2026-03-29,Affiliate
28,Laura,Valencia,jason31@example.com,M,39,Adamsborough,USA,2025-11-19,Facebook Ads
29,Nicole,Russell,sarayoung@example.org,M,61,Robinsonshire,USA,2026-06-21,Google Search
